Temperature,pH,Heavy Metals,Oil/Grease,Sulfur/Sulfite,Nitrate/Nitrogen,Phenol,Total Phosphate,Cyanide,Total Organic Carbon,Dissolved Oxygen,Fluoride,Agricultural Pesticides,Mutation (%)
15.477597,8.481766,0.009496,6.968737,10.877942,45.548379,0.158095,0.025324,0.082328,2.165417,11.982526,1.118277,0.018282,75.224944
19.089880,7.095780,0.000753,6.240855,19.688312,7.137655,0.340267,0.075909,0.019649,12.672489,11.378807,4.125670,0.007429,47.816032
17.386755,7.700233,0.000809,4.233516,17.749133,25.488757,0.128505,0.080503,0.050790,1.333366,12.823228,1.822871,0.011671,55.771664
21.649559,8.164938,0.007173,1.676422,0.630419,7.529346,0.179221,0.098445,0.005383,2.624222,3.883632,2.474566,0.037459,8.967262
17.468200,8.360929,0.004049,2.605858,18.666772,29.619417,0.427266,0.016209,0.094132,1.930143,2.140116,3.202465,0.033181,56.432288
23.125096,6.505456,0.007195,8.587499,14.949307,6.811210,0.024343,0.047324,0.032437,10.951678,3.091073,2.802582,0.030146,39.303041
29.704344,8.315888,0.008193,7.882803,4.327093,34.476980,0.059686,0.033942,0.059451,17.076426,12.079217,3.484417,0.045422,67.010126
8.248614,7.324681,0.004465,8.996882,19.420276,12.896787,0.349271,0.084493,0.077127,7.378220,11.537871,3.879370,0.039357,54.424514
28.522527,8.201451,0.006811,3.709247,4.349847,34.417077,0.066174,0.072193,0.000613,8.909572,3.792520,3.649627,0.024512,51.435887
27.861899,7.062903,0.006881,0.182428,0.437477,5.312596,0.458508,0.073690,0.090687,9.007696,13.800823,3.523994,0.039235,14.602585
25.601970,8.069255,0.006823,2.218394,10.092902,3.863614,0.354061,0.056607,0.085643,6.022087,6.942447,2.227276,0.000361,20.696030
29.460494,6.921567,0.007858,9.759915,13.927525,42.512026,0.209600,0.006788,0.032998,0.538278,9.441584,1.445004,0.041637,76.939778
9.732165,7.863025,0.008740,1.460608,4.020403,35.922237,0.137806,0.072961,0.067490,18.992074,0.535059,3.763492,0.038565,56.595909
17.478404,7.464390,0.007234,6.459410,17.625502,5.058240,0.318447,0.090837,0.006480,8.546703,13.154854,0.346923,0.019856,41.535521
28.443564,8.518973,0.001214,5.865969,11.661531,23.327239,0.493560,0.001320,0.016918,12.338741,9.204314,0.511109,0.044687,56.347993
11.569490,8.640570,0.009000,4.432491,7.229034,6.474670,0.005129,0.024907,0.091642,8.771624,1.133310,0.296636,0.004879,22.183150
27.212916,7.680316,0.007992,8.395001,16.815486,35.543031,0.353824,0.056965,0.075385,14.767536,10.357614,1.354387,0.041049,81.993072
12.061891,7.905252,0.000952,7.650901,12.101248,46.388261,0.130703,0.087132,0.065692,12.148380,9.521810,3.239545,0.025090,84.735053
11.054481,7.243673,0.003201,1.777696,12.160735,4.816844,0.332670,0.036870,0.060516,7.855631,9.197239,0.304041,0.042118,25.896272
13.754680,6.501798,0.005110,9.482010,11.974207,17.367128,0.300722,0.076973,0.088377,9.691655,5.923406,0.681794,0.005270,50.558013
12.829484,7.914854,0.005881,1.113551,2.018737,41.144167,0.190758,0.029018,0.098945,2.400136,7.508976,2.407288,0.047583,50.158127
13.634653,7.419000,0.004688,1.137076,7.837314,48.626242,0.424781,0.019204,0.028025,11.365032,6.925762,3.620837,0.012024,72.687550
20.700209,8.151894,0.001067,6.380397,16.773558,18.384503,0.252372,0.058362,0.052250,8.330982,5.602994,3.203783,0.021383,51.738663
28.291000,7.956047,0.001552,6.258814,1.028957,5.962538,0.077633,0.081117,0.044340,16.902705,4.964991,1.512536,0.026992,24.557134
6.363728,8.780712,0.008189,2.348766,14.473214,39.320573,0.036488,0.092306,0.063250,9.891981,3.725586,2.201598,0.007965,67.405145
21.890373,7.584706,0.003563,8.330688,5.379148,47.770200,0.105884,0.001039,0.018969,18.992896,9.457445,4.858253,0.019583,84.170369
16.485070,8.900730,0.005162,3.943968,5.991371,46.326950,0.056006,0.010952,0.091833,18.104499,2.849218,1.274063,0.034362,73.568123
18.260208,6.886418,0.005074,1.485059,9.147294,0.069201,0.084454,0.054547,0.076076,3.308414,10.744524,2.805435,0.025421,12.906381
24.174119,7.712315,0.000975,1.487786,17.683729,16.943989,0.439472,0.054936,0.006189,17.587863,7.143244,4.377677,0.005241,52.397455
22.079683,8.073053,0.005144,4.271142,13.914240,11.638645,0.466472,0.072210,0.054514,19.855894,11.405576,4.094568,0.036981,50.080706
27.554780,6.871446,0.002868,0.848965,4.045996,23.258168,0.288606,0.077490,0.085700,14.841875,6.836566,1.696044,0.032378,40.703545
14.011056,8.424624,0.008317,8.003122,5.024893,45.258764,0.164684,0.056609,0.046947,8.175047,4.923493,4.639621,0.038063,70.877341
29.515812,8.481759,0.004435,3.316113,3.159242,29.401762,0.493057,0.008543,0.027568,5.700442,11.331823,4.480372,0.026484,46.273761
5.691696,7.294917,0.005533,8.805753,17.081207,7.946229,0.161303,0.075612,0.057373,19.137042,3.847694,4.641086,0.028319,50.416177
25.258613,8.247178,0.004457,6.177097,15.725805,12.759133,0.208369,0.069560,0.010758,18.352433,7.858421,4.801808,0.012852,51.992364
6.825837,7.931317,0.000693,1.267003,12.358194,13.843458,0.407787,0.020149,0.083115,0.504111,11.917844,2.566619,0.030727,31.820269
24.969269,7.614821,0.002468,0.290448,10.825207,13.148104,0.109107,0.027637,0.041305,14.581300,10.988075,3.890005,0.014373,36.738137
24.641135,7.913236,0.001758,1.973122,19.964617,37.618548,0.224894,0.050432,0.019315,15.677752,0.146995,3.836552,0.026023,75.495591
19.097812,7.030400,0.003072,8.218764,9.112730,3.297783,0.484242,0.092641,0.034276,7.390891,11.363642,0.597725,0.005308,30.666522
8.720495,7.003831,0.002521,0.144354,17.052633,35.579027,0.363969,0.069136,0.085992,2.475853,12.296044,2.921780,0.025873,62.249819
15.330418,7.191722,0.002867,6.953760,11.213161,48.354606,0.285181,0.033674,0.096454,15.109500,8.132823,3.277879,0.044620,87.193295
22.595107,7.889428,0.004510,8.648429,16.956948,12.373449,0.185700,0.001714,0.081093,12.733270,5.398915,2.364225,0.027273,51.407153
18.173735,8.627972,0.002311,1.967502,5.367320,31.612733,0.383544,0.094460,0.026065,2.000551,10.644521,3.920526,0.011213,45.759195
29.857734,8.404171,0.001585,8.576060,0.509206,5.660141,0.456543,0.025635,0.038337,3.391537,9.259510,4.192163,0.018758,20.131593
5.704139,6.783589,0.001993,0.769134,17.220499,17.332630,0.320364,0.076506,0.001286,2.105277,7.818432,0.255201,0.017266,39.539266
29.964689,6.523933,0.004423,7.617899,18.436524,4.792100,0.472866,0.066097,0.073769,18.897978,5.837458,4.738597,0.021122,48.537255
17.866647,6.908503,0.000738,2.774595,11.613709,2.729765,0.299189,0.058009,0.022560,15.121340,13.665072,4.403864,0.046613,31.634347
5.059604,7.463772,0.000572,9.134430,5.947714,42.311315,0.136869,0.024712,0.020930,5.014375,1.871502,0.845037,0.015141,66.478713
16.779282,6.886710,0.008451,6.022367,6.202514,40.244174,0.101743,0.037208,0.094437,2.062465,1.374998,0.447163,0.015383,57.505984
25.604351,8.715064,0.005301,8.439954,7.881276,42.096865,0.422529,0.041331,0.089938,4.770021,2.737051,0.397268,0.012139,68.904754
20.469851,8.606468,0.004671,6.870715,10.170786,7.922578,0.455310,0.042378,0.040276,6.157796,2.680522,2.010275,0.026677,30.831568
25.559798,7.646972,0.005135,7.687419,10.669336,22.123816,0.233886,0.020350,0.009091,8.073809,13.866248,2.407046,0.044712,54.345682
13.550731,8.526629,0.009061,9.987359,2.864493,34.722768,0.305392,0.036063,0.055034,0.572728,13.339102,0.899064,0.001930,57.171387
22.666600,8.660573,0.006821,5.982096,18.212191,19.855056,0.323965,0.055974,0.043523,9.094363,6.001039,4.975032,0.039404,55.835266
19.953990,7.136353,0.004217,3.422640,6.827863,39.370684,0.415095,0.035871,0.071405,12.754506,2.564778,1.290185,0.042935,63.673151
9.902017,8.942893,0.002944,7.226855,18.364632,33.430925,0.142689,0.056741,0.022686,6.501777,2.543628,1.677655,0.005496,69.325540
28.621112,8.535638,0.008203,4.475384,13.062117,27.410467,0.462403,0.063765,0.030247,1.645842,0.500430,3.282135,0.031653,49.713525
20.856602,6.646416,0.000890,1.600155,15.240148,42.638973,0.410971,0.083865,0.043285,8.727962,13.970686,4.575060,0.021815,76.193200
20.042028,7.870568,0.001384,2.047001,1.375015,28.749382,0.235694,0.006192,0.061699,12.565964,6.643118,2.401361,0.020977,43.311073
21.682419,6.691583,0.009762,8.719411,3.810171,45.149582,0.496981,0.006483,0.002346,7.738846,7.430860,1.422681,0.026398,72.532943
27.319344,7.069372,0.008919,3.124993,2.641906,0.086477,0.225448,0.086584,0.076978,10.230485,1.356974,1.441947,0.024531,9.870058
24.106441,6.836195,0.000279,1.723321,13.592897,40.892329,0.442310,0.038023,0.052836,17.580370,2.702405,2.996134,0.037441,74.364512
24.226415,8.222460,0.000374,8.091091,0.109808,13.302722,0.362796,0.016564,0.019181,7.878257,4.060787,3.786292,0.049893,28.493038
21.613293,8.860600,0.009592,3.541548,1.018410,45.018823,0.311462,0.084502,0.020986,8.011506,4.205543,2.555710,0.032438,60.027279
26.584415,8.219011,0.006513,7.588417,12.126816,11.247540,0.303963,0.024430,0.059981,15.897943,5.996516,2.564961,0.020778,45.638160
22.472843,8.659580,0.007636,8.522336,13.319157,16.420042,0.073932,0.005107,0.020203,13.550411,6.419483,0.261994,0.038096,51.960573
21.193571,6.774413,0.002295,2.663299,4.423994,36.341831,0.013453,0.077961,0.002019,12.097698,1.030930,4.832085,0.047351,53.678805
15.248447,6.657553,0.002232,7.138974,7.610967,19.456900,0.012281,0.019569,0.080025,5.079598,8.389334,3.219802,0.035187,41.339771
9.582019,8.412224,0.007714,1.326198,0.990741,5.086729,0.193853,0.038641,0.040946,15.553641,8.492219,3.520636,0.021063,17.346506
24.109377,8.619362,0.005622,8.509111,6.215429,40.041427,0.328614,0.050817,0.070147,14.449449,0.550486,3.965953,0.034777,71.317246
20.801611,8.968037,0.003094,2.732221,1.018458,39.744997,0.011391,0.075428,0.038272,18.544966,7.742212,1.189206,0.031798,60.813596
12.056115,8.914004,0.000495,9.904546,15.044098,38.392096,0.364421,0.059860,0.090112,7.094925,9.267950,1.027619,0.034156,79.356125
13.367359,7.387836,0.001157,5.504913,7.521557,30.781153,0.160053,0.085952,0.027468,15.884476,13.228052,4.439775,0.027523,62.982772
16.641352,6.759079,0.008105,3.380043,14.189225,25.653034,0.478025,0.006752,0.029288,1.900007,7.086957,0.107903,0.001662,49.669791
8.962553,7.709468,0.003927,5.116820,9.152048,21.611794,0.472727,0.031075,0.088403,18.971601,13.474642,4.531063,0.028948,57.173359
9.360375,8.538627,0.006797,1.425501,6.728822,46.485151,0.026284,0.080098,0.090374,2.678356,1.167941,0.485489,0.042101,59.474136
7.187232,8.427803,0.000540,0.781104,15.506401,9.523780,0.226158,0.044976,0.060223,1.635029,2.498592,1.202781,0.014153,25.673989
5.779764,7.414126,0.005912,7.280498,3.844164,43.319776,0.315967,0.099855,0.096031,18.320718,8.750001,2.913634,0.009614,76.113829
26.326748,6.941140,0.000124,7.782024,0.605846,12.943533,0.154078,0.008373,0.026840,0.201745,9.117464,1.449505,0.009209,23.621557
5.955496,6.552671,0.006372,5.932725,9.175425,11.205123,0.432288,0.051547,0.026463,17.350060,12.461283,3.871428,0.041410,44.489364
27.425645,6.725512,0.009610,2.985107,19.584386,44.168453,0.441311,0.048441,0.073400,12.108649,5.582454,1.936444,0.042719,84.247228
14.502227,7.991118,0.000575,3.051458,0.691379,19.799117,0.191778,0.064414,0.032121,9.406949,4.211746,1.553136,0.000698,30.196671
12.413028,8.462522,0.001584,9.703663,5.115830,5.646835,0.126747,0.028084,0.047274,8.348019,9.526703,3.806532,0.039455,29.533335
14.714680,7.146487,0.006675,5.410859,19.970728,12.276609,0.437340,0.056535,0.062350,6.899002,1.618424,2.326837,0.018806,45.563870
25.979223,8.132757,0.007298,6.880005,15.424704,15.455177,0.429226,0.082188,0.047172,8.436470,3.859749,1.981089,0.026351,47.789008
28.378550,6.647515,0.008027,1.519182,18.035153,40.602033,0.120800,0.001385,0.089762,18.555575,2.003142,2.568291,0.019131,78.190432
16.899464,7.731686,0.007464,4.415831,3.035846,42.196942,0.191731,0.092591,0.074108,11.809596,13.081636,0.947919,0.044087,66.658217
26.846823,8.245458,0.000263,3.050039,10.260419,11.635799,0.055713,0.054664,0.029904,4.721646,8.761311,0.812897,0.015181,29.845070
24.348622,8.438222,0.000732,9.081459,14.010006,15.917546,0.115920,0.091853,0.075808,8.229670,12.865246,1.403163,0.014230,52.426703
10.379667,8.778293,0.001960,8.862434,13.203341,16.790081,0.303092,0.056942,0.058121,13.164814,5.037591,1.117868,0.034315,53.027675
8.321823,6.871657,0.007802,6.338296,2.882601,27.576784,0.186436,0.095221,0.007231,7.135546,11.768496,0.828014,0.034781,47.746486
26.353987,7.929084,0.009888,3.338750,10.826819,44.730156,0.445693,0.049926,0.080540,7.145143,1.722618,0.263362,0.023841,69.825572
19.154785,7.300901,0.009602,1.735418,18.297288,9.727559,0.236067,0.056300,0.062086,16.053762,13.768835,3.856634,0.001337,46.448956
11.310369,8.375985,0.008576,2.485419,1.316921,15.545446,0.313319,0.055299,0.085767,9.386751,8.612825,2.786078,0.019060,27.767796
26.302677,8.163281,0.003631,2.372985,11.036883,4.852606,0.188559,0.041020,0.080450,13.355675,0.021262,3.164263,0.019581,26.335682
15.979737,8.125039,0.001234,3.456088,4.077829,37.182338,0.062368,0.095109,0.068069,11.924670,3.040294,1.067620,0.036587,55.727744
29.260372,8.023320,0.004106,8.048896,3.756234,37.493685,0.489806,0.059660,0.028063,10.401468,6.374928,4.599067,0.013448,64.068201
9.102513,7.458264,0.007188,6.446371,16.521826,45.897657,0.071192,0.072991,0.004043,6.160741,10.783624,2.627111,0.032890,83.428307
21.980012,8.323497,0.005399,8.004549,10.619268,45.254127,0.238103,0.087942,0.017329,13.693673,3.169306,3.260549,0.001973,81.069704
26.634268,8.513205,0.006739,0.424588,6.399085,21.577878,0.372924,0.009477,0.026500,10.135032,4.079761,1.169507,0.005192,36.504563
25.834989,8.011308,0.005586,6.888748,13.562175,14.403686,0.222664,0.089883,0.081032,2.889466,6.044360,1.532587,0.022214,40.493063
11.267732,7.386840,0.003089,5.538005,0.134104,3.434979,0.402137,0.092253,0.067365,3.041937,1.456838,3.371853,0.005775,9.158713
12.098835,7.521675,0.001780,0.656724,15.261859,28.567043,0.451529,0.043305,0.069650,13.531361,5.005369,1.638274,0.012767,58.315435
28.395572,8.013951,0.007795,3.364898,13.618035,32.854957,0.103863,0.013759,0.028563,4.502131,1.288748,4.189083,0.047394,56.197438
9.303119,7.703023,0.009926,0.155639,9.704030,35.784830,0.205851,0.073723,0.001899,19.754695,13.151025,2.671016,0.011703,66.385197
8.851780,6.990545,0.004836,0.386771,18.220728,41.511799,0.487412,0.034532,0.077755,19.337915,2.383773,1.382237,0.017431,79.633624
16.971182,8.125489,0.004447,3.440788,0.477109,40.382843,0.185371,0.063810,0.043065,9.240972,2.735942,3.644076,0.039406,53.773013
19.012244,7.187460,0.005189,8.164661,5.301870,0.032914,0.175098,0.070419,0.096527,10.800217,4.898340,2.438422,0.012407,20.836159
23.426872,7.293120,0.006525,0.631031,13.028077,12.140909,0.193212,0.031408,0.018023,3.714571,6.581485,3.147152,0.033081,28.830539
5.078584,7.780636,0.005790,7.998171,9.506435,2.019375,0.458824,0.068609,0.010097,6.021034,3.084959,1.268773,0.015526,24.858850
16.283128,7.113019,0.005480,0.926621,3.935135,36.685393,0.460827,0.086057,0.052158,9.068707,0.611857,2.434531,0.015421,50.439987
25.814871,7.272815,0.001679,4.367799,3.856994,28.286822,0.119223,0.043894,0.067841,13.803629,6.158504,3.224506,0.023178,49.310886
19.472329,7.687357,0.009808,2.547143,1.015458,2.977260,0.467290,0.012706,0.084575,18.987663,4.217287,2.134832,0.048133,18.728453
11.952689,8.842890,0.008059,6.083208,7.269423,18.944210,0.200009,0.033847,0.000327,2.165375,5.548690,0.408835,0.018720,36.024021
23.744066,8.562886,0.002910,7.988276,8.594411,35.869527,0.305039,0.098237,0.099689,0.236455,12.415901,3.793914,0.020600,61.835128
11.822752,7.129216,0.004502,4.874890,19.945669,35.575873,0.237956,0.005123,0.030167,10.448506,1.295647,4.733517,0.010948,73.125834
18.379817,7.786266,0.004320,2.326994,0.586107,2.251939,0.392884,0.050254,0.022483,12.908850,0.345606,2.745540,0.021889,11.118203
29.244759,8.081813,0.002633,3.596762,9.685639,43.920180,0.471942,0.020921,0.011931,12.090184,13.887156,3.924637,0.023910,76.999599
17.751853,7.872012,0.005453,8.573359,4.961763,16.208443,0.352115,0.054038,0.079771,5.063923,5.190002,0.865269,0.016149,36.531889
13.732599,8.154090,0.001391,3.506912,0.958941,1.555107,0.251915,0.084148,0.020187,5.860768,13.563704,4.511263,0.042101,11.844578
10.643256,7.120291,0.001775,7.821373,9.271530,35.495259,0.395837,0.078020,0.005212,10.283039,1.552903,4.440147,0.022120,65.761786
23.886786,8.054171,0.003758,2.327540,7.666649,21.817098,0.024532,0.044754,0.082063,18.616195,5.189682,0.467390,0.011335,46.240241
27.469256,8.016050,0.009281,8.437341,13.956193,39.088651,0.112075,0.047017,0.017641,6.924106,1.028680,2.110690,0.019344,72.282841
15.131479,6.659759,0.001917,4.502658,5.219821,31.619524,0.113752,0.075900,0.068345,8.968608,8.386580,1.598314,0.036098,52.603582
23.528579,7.854535,0.003253,0.444434,9.051074,32.434487,0.475211,0.056468,0.007734,19.001700,13.861822,1.433772,0.025081,63.193203
20.331383,6.850362,0.002595,8.404361,18.195420,47.205216,0.201722,0.075545,0.057251,5.440532,6.650025,4.384400,0.034666,87.859296
12.439539,6.546870,0.003212,9.795738,14.197594,33.656586,0.217779,0.014277,0.013111,11.453168,0.013892,2.479012,0.011242,71.804830
8.930448,8.305242,0.001084,3.575064,1.199849,25.003782,0.293160,0.046802,0.033208,0.719119,9.901565,0.783708,0.040161,33.864536
5.436616,8.401287,0.000167,2.178476,10.783020,44.961410,0.179001,0.021791,0.068981,11.523466,7.444413,1.414518,0.036218,72.810965
16.566332,7.868674,0.006355,6.466997,5.560544,41.799484,0.089118,0.071342,0.028542,12.597082,12.783289,3.693576,0.012273,71.963248
27.170336,7.984007,0.002488,6.052511,19.401944,9.113454,0.312153,0.059043,0.069027,19.407259,3.045895,0.158312,0.047272,51.509607
21.946295,8.827449,0.003914,3.108051,7.077490,47.738732,0.155361,0.068732,0.082491,3.671037,9.812912,4.378649,0.003954,68.027657
14.504880,6.616800,0.002271,9.666444,9.968997,43.914000,0.231813,0.043291,0.005579,0.938204,11.602861,3.621689,0.047683,74.911036
26.515233,7.766035,0.007244,5.814951,13.227590,1.735596,0.471288,0.062364,0.089451,6.153798,6.821612,1.405955,0.039019,27.527556
22.427376,8.249121,0.001622,5.160547,17.268463,8.208985,0.306397,0.076309,0.078944,5.656448,9.094249,1.465223,0.024989,38.900162
23.016851,8.322010,0.000543,1.373680,3.266176,11.447127,0.415843,0.074371,0.076153,7.164958,4.616849,0.689631,0.024483,20.760018
29.589666,8.488022,0.005381,5.263732,12.237063,32.731775,0.206391,0.035774,0.088867,6.076692,7.963297,4.982953,0.018198,60.936514
11.106598,7.758955,0.004940,2.531001,4.094195,24.450594,0.129109,0.028493,0.039179,18.682173,13.980227,3.515569,0.037539,49.446490
5.146279,7.979002,0.001996,1.744288,7.222645,26.379638,0.475387,0.048175,0.021498,5.853756,13.347448,3.551192,0.043010,46.176594
25.517808,7.750548,0.008205,6.022342,19.862947,16.462214,0.088882,0.055301,0.040253,15.580572,13.358414,0.342230,0.003689,60.864620
19.627659,8.081397,0.003053,0.295036,12.502394,31.173203,0.363187,0.070873,0.067186,13.918888,13.650436,2.895093,0.035242,61.718756
18.761078,8.598036,0.002874,8.138245,8.856085,39.726547,0.067714,0.096168,0.029195,16.122963,12.388351,1.617780,0.041853,77.913399
10.335977,8.940925,0.007385,4.928351,11.105968,1.091416,0.460527,0.018954,0.065962,12.698505,5.485763,1.327221,0.020503,27.042893
18.244557,7.943253,0.000994,8.350827,11.132944,23.051201,0.202356,0.083122,0.020447,14.619805,8.787797,1.382245,0.022852,59.290110
26.974226,6.996562,0.005496,5.214863,14.017547,3.848601,0.347408,0.009210,0.030373,18.271139,4.074733,0.706037,0.034004,37.417970
28.746658,7.226168,0.005123,0.378817,9.769166,47.074687,0.488867,0.086713,0.081730,3.907436,2.015845,2.624903,0.043114,65.293987
5.422817,8.646466,0.009739,1.771220,17.036114,12.296831,0.057860,0.091808,0.073817,2.248059,2.163781,3.573480,0.001598,31.835797
20.832986,7.123985,0.008840,4.298410,13.051525,41.045484,0.417416,0.026707,0.034783,4.131665,12.758254,3.625189,0.010378,71.611035
29.043635,8.673518,0.008066,1.055497,18.755216,11.072399,0.239417,0.086175,0.010208,2.638125,9.985125,3.923971,0.009500,35.716787
24.682322,8.458803,0.003651,0.770417,6.859752,25.457596,0.464461,0.066751,0.049274,9.310865,10.354105,3.846281,0.043895,44.590050
25.950822,8.585131,0.007163,5.090408,10.690699,11.623958,0.280545,0.050355,0.018205,9.937540,9.552565,2.817609,0.041643,38.372722
5.408910,7.991672,0.000631,1.536811,4.482799,42.134143,0.248993,0.056130,0.013797,14.278996,0.847118,2.826171,0.030467,61.315689
18.248625,7.628319,0.003691,6.356351,4.846880,24.106309,0.241575,0.072823,0.013000,6.878745,2.570215,2.852236,0.007336,42.215802
28.669520,8.596654,0.002532,1.068036,15.855132,38.001128,0.392801,0.076527,0.018663,19.557229,11.864236,3.407575,0.019278,77.620007
6.445761,7.543879,0.006683,6.770242,3.498453,19.959599,0.310490,0.092807,0.092738,13.227486,8.194357,3.112757,0.049707,44.061451
17.881071,8.484491,0.008140,6.823489,10.974628,0.220052,0.477836,0.070009,0.043307,2.178548,4.791187,0.597663,0.044396,20.604951
11.091864,7.186461,0.002339,4.408187,17.958463,5.705459,0.015161,0.061586,0.067581,16.580142,1.689184,2.929942,0.045705,39.479264
19.028095,8.632190,0.004150,3.154290,1.291194,32.619923,0.458576,0.020719,0.028031,3.572160,6.290740,4.235828,0.018928,43.476507
28.322369,7.037230,0.005749,8.132793,14.798907,19.949455,0.415727,0.059454,0.029595,5.006977,5.512342,2.989653,0.001952,51.862904
22.195721,6.921229,0.007553,1.293321,15.230736,9.072087,0.472860,0.078576,0.028222,19.156699,9.923666,4.805771,0.007375,42.858476
28.853297,8.504316,0.003426,8.932632,2.243730,38.412241,0.295677,0.018303,0.045871,10.602646,3.624037,1.147623,0.037034,63.003052
24.983160,7.906472,0.009897,7.799085,0.337304,43.772020,0.220284,0.086484,0.091330,9.324875,4.403429,4.494409,0.019689,64.470368
5.458759,7.210785,0.009210,9.679735,5.862695,43.127782,0.338865,0.015848,0.091680,14.688972,12.639010,4.054078,0.007825,80.614008
29.161113,8.879630,0.005767,5.536129,4.398698,13.838483,0.008093,0.032444,0.060009,13.480964,3.730144,3.421222,0.000995,33.257677
25.264852,8.385507,0.009113,3.936062,4.810163,44.226431,0.364935,0.037291,0.073742,6.825102,2.696880,4.891909,0.016573,62.897649
26.833290,8.880844,0.002580,9.740416,19.282243,45.463982,0.011120,0.095977,0.022454,3.943142,11.144866,3.907879,0.018077,88.852246
5.055178,8.446664,0.009984,3.566185,0.591651,27.425095,0.265122,0.079280,0.050199,16.656728,0.187615,3.912914,0.041837,44.260366
29.943285,8.667106,0.007617,7.264729,10.964467,17.077942,0.142277,0.096121,0.097462,10.786601,1.046035,4.272709,0.049468,45.258423
8.195005,7.816301,0.001695,1.707275,16.088840,41.384434,0.124466,0.058292,0.040328,16.603499,13.014400,3.561056,0.026674,79.874977
20.188522,8.711630,0.008454,4.007895,7.437702,42.614319,0.066206,0.092654,0.044459,5.826010,11.039272,3.540967,0.003500,65.698164
28.573866,6.804240,0.008274,5.953338,4.833143,31.277102,0.463710,0.032821,0.064339,13.268984,6.794516,4.947187,0.015462,57.610279
11.120125,8.370592,0.006129,5.829733,16.994140,12.042328,0.303131,0.042620,0.003780,11.291311,5.717065,3.169775,0.013365,46.195488
10.539326,7.796982,0.003130,6.358020,5.063767,9.373488,0.036648,0.033125,0.096267,5.462864,0.443999,0.929323,0.034211,23.425466
23.834441,6.957417,0.001620,6.303600,0.576760,41.090707,0.012747,0.080079,0.057862,4.537066,6.897964,2.429781,0.045835,55.986749
8.468998,8.594635,0.004064,9.884323,9.600561,49.213377,0.045294,0.069390,0.095615,9.389022,2.859272,1.187970,0.047193,83.203125
10.985007,8.901525,0.002468,7.375963,19.858750,40.300397,0.133413,0.008041,0.066288,14.419719,0.829942,0.670901,0.017696,84.725090
28.490782,8.293347,0.001802,4.378738,4.775876,13.929001,0.266826,0.088474,0.042822,17.464328,12.972606,3.854328,0.046134,40.389621
7.396652,8.987878,0.009849,8.807192,12.867696,35.756115,0.170387,0.027163,0.082642,13.690939,6.873865,4.383484,0.015895,75.131973
25.183008,7.926511,0.001892,6.245731,12.974822,31.020951,0.302373,0.088609,0.017399,12.467344,6.419457,2.913615,0.006065,65.318268
5.266190,7.903893,0.004860,5.680701,16.934201,4.955790,0.150408,0.020014,0.025702,19.600085,10.674594,1.254233,0.017718,45.541400
5.473464,6.781908,0.009971,4.757212,9.401819,29.352763,0.146579,0.087731,0.052310,13.827172,8.869194,4.880701,0.042794,58.850215
17.720920,8.330225,0.005024,7.435350,16.002311,45.689874,0.290894,0.053614,0.072009,3.807581,1.812089,4.379289,0.039476,79.730392
12.735948,8.077168,0.003839,4.448288,17.039471,12.509218,0.285393,0.062160,0.035864,7.823711,1.403825,0.856507,0.006694,40.958443
27.245869,8.663827,0.000406,3.094992,8.038965,4.272726,0.369131,0.029610,0.073836,9.031566,12.028295,0.351670,0.033280,24.795891
22.437711,7.860969,0.002336,3.590987,6.081375,16.298305,0.369303,0.099287,0.057599,4.498455,12.164421,0.426471,0.035291,33.647162
26.691654,6.645540,0.002959,8.992252,14.714615,34.397726,0.205507,0.096193,0.061434,2.513625,7.084648,2.712777,0.040168,67.904187
14.537868,7.608469,0.002881,2.792411,15.999139,25.572809,0.229717,0.002945,0.005742,4.208316,10.248964,2.720312,0.030981,52.826162
25.219998,7.475332,0.007834,8.679791,15.680217,25.897602,0.317434,0.054902,0.025320,0.581358,10.895141,2.370131,0.013954,59.224786
8.778094,8.712911,0.006669,3.243739,0.909497,45.005774,0.217401,0.013781,0.098409,9.461145,13.348037,1.907395,0.017400,64.279006
23.097060,8.215223,0.001719,7.022742,12.383026,12.890661,0.052025,0.094848,0.031732,1.535792,9.234435,4.436221,0.011213,36.839519
19.071849,8.560944,0.005043,4.545357,14.741941,46.875153,0.160477,0.095362,0.077323,0.249523,13.169173,0.552549,0.000647,76.885148
18.514449,6.500336,0.004459,9.729326,2.740944,6.822048,0.443981,0.050918,0.006014,0.631218,12.857241,3.989372,0.031999,25.146652
24.780364,8.862101,0.006288,6.736577,18.450837,23.627229,0.119612,0.012163,0.038387,15.952314,0.898847,2.128901,0.017419,64.176694
24.359099,8.759405,0.004728,4.274606,11.901003,9.952341,0.261187,0.048410,0.074583,19.155488,11.465305,2.669888,0.009793,43.911312
