Sıcaklık,pH,Hg,Pb,Cd,Yağ,K.O.İ,Sülfür,TP/CR,Nitrat,Azot,Fenol,Fosfor,Y.A.M,Siyanür,Organik-Karbon,Çözünmüş-Oksijen,Florür,Tarımsal-Pestisit,Mutasyon (%)
20.256023,7.940060,0.009474,0.024665,0.007484,6.192149,63.365457,5.117557,1.148560,29.939277,9.751950,0.359010,0.003043,2.239020,0.092938,2.233491,10.273034,1.372154,0.026452,21.207147
11.953589,8.526931,0.009170,0.093192,0.004375,0.958378,67.907129,7.480343,1.730107,34.872549,7.910458,0.498423,0.054155,2.751928,0.066732,19.273629,12.757905,4.508265,0.037890,45.982489
27.332808,7.129379,0.002052,0.091081,0.007371,9.941968,12.461648,16.132664,0.625202,3.330813,2.132464,0.356256,0.096076,1.459807,0.078304,1.488439,5.854929,2.607652,0.021022,22.796357
26.454281,6.958204,0.003900,0.067521,0.001069,0.778090,88.611699,8.428304,1.480963,37.731448,4.958270,0.437520,0.030898,4.194505,0.026501,1.930134,7.477088,0.769780,0.042490,36.293148
25.130401,7.479061,0.009250,0.040456,0.004175,0.390514,149.746044,2.058746,0.931693,13.580341,9.441189,0.205996,0.004704,4.763277,0.024854,5.193516,7.056298,2.136965,0.005595,51.016479
6.316811,6.832291,0.004739,0.078498,0.004546,2.514940,42.874627,18.822930,1.296421,41.284292,6.578535,0.150870,0.076752,1.212996,0.015039,16.527377,11.115456,4.224371,0.003269,29.099431
23.343794,8.786977,0.008233,0.002499,0.006560,6.232734,7.012679,7.790331,0.684778,44.749652,2.628145,0.113214,0.037124,1.539363,0.087106,18.614321,8.451509,3.240390,0.036520,18.138394
8.914225,8.198547,0.000521,0.065460,0.003189,0.111589,140.355825,12.262466,1.154555,33.593765,5.099869,0.263269,0.062078,2.681596,0.000502,10.677544,0.466093,1.037665,0.017965,78.794033
16.959192,7.353487,0.009876,0.079245,0.008239,0.305168,20.431012,11.802920,0.707938,37.222753,7.499232,0.259332,0.022818,3.098246,0.071912,13.115151,10.929743,3.103638,0.010178,24.375932
22.867954,8.626486,0.008866,0.024079,0.001411,1.895790,49.154329,18.323725,1.057076,1.520006,8.026800,0.023327,0.043289,4.302919,0.036138,10.338387,3.757093,2.563614,0.043270,36.830273
12.575765,7.463091,0.000182,0.086548,0.009769,7.819936,7.752414,9.471973,1.124375,39.846859,3.189776,0.408272,0.041367,4.746508,0.057658,17.957825,3.289726,4.387231,0.046585,40.684530
18.397619,8.279291,0.001951,0.077454,0.000763,8.892379,124.517893,4.293556,1.478250,15.747858,3.997227,0.190121,0.041991,4.697755,0.064763,12.075535,6.973139,1.792879,0.029166,51.716419
25.763872,6.975159,0.001637,0.077017,0.007605,0.882066,17.649906,9.687930,1.387520,26.181116,1.754342,0.086733,0.018882,3.514419,0.054935,15.737195,9.608746,0.754013,0.004920,27.652143
29.296628,8.776747,0.009930,0.048236,0.003597,8.327084,32.626142,10.827166,1.668105,24.527499,9.943686,0.017688,0.002019,0.181434,0.001069,18.480930,11.192083,0.560806,0.020381,28.173424
